,Area,Production,Rainfall,Season,Temperature,Crop
15449,256147.0,558800.0,216.88833333333332,Kharif,28.929000000000002,Rice
71643,100.0,4000.0,93.08420067650066,Whole Year,30.48063464539196,Sugarcane
23587,510.0,430.0,102.6561790494635,Whole Year,27.965368330702148,Dry chillies
24077,35.0,32.0,134.2655,Summer,30.88875,Moong(Green Gram)
28100,5427.0,2040.0,48.849,Kharif,27.641,Moong(Green Gram)
21028,73.0,170.0,50.23553141075104,Whole Year,28.127492219650197,Onion
7466,8146.0,978.0,151.409,Kharif,28.305,Sesamum
76678,4574.0,13942.0,37.8015,Summer,30.769000000000002,Rice
27149,48434.0,67115.0,245.13925,Autumn,20.80125,Rice
51434,171781.0,149390.0,1.70875,Rabi,19.6445,Gram
37115,39516.0,63239.0,211.175,Summer,28.6685,Rice
44841,600.0,100.0,5.208249999999999,Rabi,24.91825,Rapeseed &Mustard
11451,1570.0,384.0,188.68033333333332,Kharif,27.259,Sesamum
62232,56.0,23.0,149.3870851250375,Whole Year,27.865024577492708,Dry chillies
72428,1229.0,11376.0,146.6119095410424,Whole Year,27.39996364448035,Onion
84165,13.0,2.0,79.75666666666667,Kharif,28.10133333333333,Moong(Green Gram)
100437,8.0,9.0,137.483,Kharif,29.25766666666667,Groundnut
84185,817.0,27160.0,67.00468454433367,Whole Year,28.21119094276555,Sugarcane
56285,945.0,46902.0,104.0174027777778,Whole Year,26.57507638888889,Sugarcane
72338,139.0,114.0,203.77599999999998,Kharif,27.99566666666666,Urad
79464,56861.0,132676.0,65.16325,Autumn,25.34525,Rice
6215,7320.0,13320.0,267.0226666666667,Kharif,20.921666666666674,Maize
6267,28.0,300.0,103.92676388888893,Whole Year,26.32279861111111,Potato
8151,106500.0,143700.0,44.95099999999999,Kharif,28.23233333333333,Rice
49676,88.0,20.0,136.7886666666667,Kharif,26.36666666666666,Moong(Green Gram)
31480,79.0,59.0,220.15966666666668,Kharif,28.14633333333333,Arhar/Tur
34827,1067.0,507.0,163.44733333333332,Kharif,24.77266666666667,Arhar/Tur
88994,9400.0,15200.0,120.92275,Summer,29.85,Groundnut
77191,5000.0,2600.0,44.95099999999999,Kharif,28.23233333333333,Moong(Green Gram)
11391,267.0,194.0,14.26375,Rabi,20.40375,Gram
74836,35013.0,23704.0,133.4563333333333,Kharif,25.22533333333334,Groundnut
97917,3000.0,7000.0,224.60575,Summer,28.78075,Rice
50587,145000.0,170000.0,4.5865,Winter,22.52175,Rice
76148,168.0,142.0,145.88066666666668,Kharif,27.45966666666666,Groundnut
48119,2520.0,1214.0,172.4223333333333,Kharif,26.61,Urad
6631,10.0,57.0,133.763,Summer,24.23325,Dry chillies
51090,31464.0,25101.0,62.37366666666667,Kharif,26.36333333333333,Groundnut
89660,2.0,77012.30591908224,135.6893333333333,Kharif,28.16,Maize
75623,1746.0,4971.0,177.65200000000004,Kharif,28.49166666666666,Maize
106248,423.0,155.0,171.1544617797684,Whole Year,27.5694423322429,Dry chillies
69003,97335.0,96492.0,8.9055,Winter,19.25275,Rice
102171,11493.0,3287.0,219.673,Kharif,26.81866666666667,Urad
5285,16.0,96.4,4.39075,Winter,21.9345,Potato
6153,9880.0,4711.0,212.55033333333333,Kharif,26.30233333333333,Arhar/Tur
