,0,1,2,3,4,5,6,7
249,Uttar Pradesh,lucknow,2014,Rabi,Wheat,79315.0,10.5325,19.59275
250,Uttar Pradesh,lucknow,2014,Rabi,Rapeseed &Mustard,4243.0,10.5325,19.59275
251,Uttar Pradesh,lucknow,2014,Rabi,Potato,3844.0,10.5325,19.59275
252,Uttar Pradesh,maharajganj,2014,Kharif,Urad,165814.0,2.951640821891125e-75,2.151206766e-314
253,Uttar Pradesh,maharajganj,2014,Kharif,Sugarcane,15932.0,3.0637079705663137e-57,2.1512051654e-314
254,Uttar Pradesh,maharajganj,2014,Kharif,Sesamum,1154.0,9.898036149454016e+164,2.151206877e-314
255,Uttar Pradesh,maharajganj,2014,Rabi,Wheat,152333.0,9.16281386776437e-72,2.151205197e-314
256,Uttar Pradesh,maharajganj,2014,Rabi,Rapeseed &Mustard,3409.0,0.0,2.1463780966e-314
257,Uttar Pradesh,maharajganj,2014,Rabi,Potato,2296.0,9.459562646579981e-76,2.1512069045e-314
258,Uttar Pradesh,mahoba,2014,Kharif,Urad,50433.0,184.44333333333336,26.676666666666666
259,Uttar Pradesh,mahoba,2014,Kharif,Sugarcane,31808.0,184.44333333333336,26.676666666666666
260,Uttar Pradesh,mahoba,2014,Kharif,Sesamum,11609.0,184.44333333333336,26.676666666666666
261,Uttar Pradesh,mahoba,2014,Rabi,Wheat,69598.0,11.905000000000001,19.525
262,Uttar Pradesh,mahoba,2014,Rabi,Rapeseed &Mustard,54605.0,11.905000000000001,19.525
263,Uttar Pradesh,mahoba,2014,Rabi,Potato,5736.0,11.905000000000001,19.525
